flow,velo,dia,t,material,Safety_Status
1411.815006,3.416,0.4,0.0127,22.5,LOW
1411.815006,3.416,0.4,0.0127,19.3,LOW
2223.785283,3.421,0.5,0.01509,22.5,LOW
2223.785283,3.421,0.5,0.01509,19.3,LOW
2224.862494,3.422,0.5,0.01509,22.5,LOW
2224.862494,3.422,0.5,0.01509,19.3,LOW
2228.440447,3.427,0.5,0.01509,22.5,LOW
2228.440447,3.427,0.5,0.01509,19.3,LOW
2229.471013,3.429,0.5,0.01509,22.5,LOW
2229.471013,3.429,0.5,0.01509,19.3,LOW
2230.046109,3.43,0.5,0.01509,22.5,LOW
2230.046109,3.43,0.5,0.01509,19.3,LOW
2233.374231,3.435,0.5,0.01509,22.5,LOW
2233.374231,3.435,0.5,0.01509,19.3,LOW
2234.677404,3.438,0.5,0.01509,22.5,LOW
2234.677404,3.438,0.5,0.01509,19.3,LOW
2241.279524,3.447,0.5,0.01509,22.5,LOW
2240.631394,3.447,0.5,0.01509,22.5,LOW
2241.279524,3.447,0.5,0.01509,19.3,LOW
2240.631394,3.447,0.5,0.01509,19.3,LOW
1805.546949,3.452,0.45,0.01427,22.5,LOW
1805.546949,3.452,0.45,0.01427,19.3,LOW
2248.837221,3.459,0.5,0.01509,22.5,LOW
2248.837221,3.459,0.5,0.01509,19.3,LOW
2251.136132,3.462,0.5,0.01509,22.5,LOW
2251.136132,3.462,0.5,0.01509,19.3,LOW
2252.168466,3.464,0.5,0.01509,22.5,LOW
2252.168466,3.464,0.5,0.01509,19.3,LOW
2252.800317,3.465,0.5,0.01509,22.5,LOW
2252.800317,3.465,0.5,0.01509,19.3,LOW
2255.096078,3.468,0.5,0.01509,22.5,LOW
2255.096078,3.468,0.5,0.01509,19.3,LOW
2258.523734,3.475,0.5,0.01509,22.5,LOW
2258.523734,3.475,0.5,0.01509,19.3,LOW
2268.461984,3.488,0.5,0.01509,22.5,LOW
2268.283861,3.488,0.5,0.01509,22.5,LOW
2268.461984,3.488,0.5,0.01509,19.3,LOW
2268.283861,3.488,0.5,0.01509,19.3,LOW
1828.11842,3.494,0.45,0.01427,22.5,LOW
1828.11842,3.494,0.45,0.01427,19.3,LOW
2277.127751,3.502,0.5,0.01509,22.5,LOW
2277.127751,3.502,0.5,0.01509,19.3,LOW
1448.403981,3.503,0.4,0.0127,22.5,LOW
1448.403981,3.503,0.4,0.0127,19.3,LOW
1833.826238,3.505,0.45,0.01427,22.5,LOW
1833.826238,3.505,0.45,0.01427,19.3,LOW
2279.877133,3.507,0.5,0.01509,22.5,LOW
2279.877133,3.507,0.5,0.01509,19.3,LOW
1846.590248,3.53,0.45,0.01427,22.5,LOW
1846.590248,3.53,0.45,0.01427,19.3,LOW
2296.520917,3.533,0.5,0.01509,22.5,LOW
